station_id,name,lat,lon,capacity,num_bikes_available,num_docks_available
7391,Yonge St / Dundas Sq,43.655766,-79.3802,27,24,2
7392,Woodbine Subway Green P SMART,43.686829,-79.311073,20,1,19
7395,Dentonia Park,43.694341,-79.291416,23,10,13
7398,York St / Harbour St,43.64116,-79.37979,39,22,17
7399,Lower Jarvis / Queens Quay E,43.64422,-79.36927,19,13,5
7400,Polson Pier,43.641675,-79.354006,23,10,13
7402,Wellington St W / Bathurst St,43.6426245,-79.4024594,15,4,10
7403,Lascelles Blvd / Eglinton Ave W - SMART,43.70547,-79.40355,19,7,12
7404,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,19,1,18
7406,Victoria St / Queen St E,43.65294,-79.3783,23,5,18
7407,University Ave / Queen St W,43.65158,-79.38655,23,13,10
7408,University Ave / Armoury St - SMART,43.65263,-79.38766,23,2,20
7409,Isabella St / Church St,43.66834,-79.38235,19,9,8
7410,Howard St / Rose Ave - SMART,43.671278,-79.372127,19,5,14
7411,Little Norway Park,43.635023,-79.399505,22,12,8
7412,King St W / Crawford St - SMART,43.6417852,-79.4131148,23,18,5
7413,Dundas St W / Watkinson Ave - SMART,43.66478,-79.45991,15,3,12
7414,Keele St / Annette St - SMART,43.66402,-79.46418,15,8,7
7415,Keele St / Vine Ave - SMART,43.66686,-79.46526,23,10,13
7416,Spadina Ave / Blue Jays Way,43.641705,-79.393295,31,13,17
7417,King St W / Jordan St,43.648928,-79.378623,11,10,1
7418,College Park - Yonge St Entrance,43.65988,-79.38279,25,7,18
7419,Bloor St W / Huron St,43.667023,-79.401805,27,5,22
7420,Barton St / Howland St - SMART,43.66842,-79.410585,19,2,17
7422,Tyndall Ave / King St W - SMART,43.638426,-79.429142,16,7,9
7423,Merton St / Al Green Ln - SMART,43.696479,-79.394855,23,14,9
7424,Merton St / Mount Pleasant Rd,43.697819,-79.38786,23,1,22
7425,The Queensway at South Kingsway - SMART,43.63632,-79.47307,23,11,12
7426,Fleet St / Garrison Rd (Fort York),43.636804,-79.408832,41,19,21
7427,Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765,27,8,19
7428,Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,27,12,15
